object_name,category,item_name,item_type,item_description,default_value
[dbo].[BayesianProbability2],Input,@EventSet,NVARCHAR(MAX),"Optional override CSV of all events to retrieve. If NULL, the procedure builds the union of events from SeqA and SeqB. Comment in code notes this parameter may no longer be necessary.",NULL
[dbo].[BayesianProbability2],Input,@GroupType,NVARCHAR(10),"Grouping key. NULL defaults through dbo.DefaultGroupType to CASEID. Supported values are CASEID, DAY, MONTH, and YEAR.",NULL
[dbo].[BayesianProbability2],Input,@SeqA,NVARCHAR(MAX),CSV list of events defining sequence A. Can also be resolved from an EventSetCode by dbo.EventSetByCode.,
[dbo].[BayesianProbability2],Input,@SeqB,NVARCHAR(MAX),CSV list of events defining sequence B. Can also be resolved from an EventSetCode by dbo.EventSetByCode.,
[dbo].[BayesianProbability2],Input,@SessionID,UNIQUEIDENTIFIER OUTPUT,"Optional session identifier for work-table persistence. If NULL, a new SessionID is created. When NULL on input, the procedure displays and then deletes the result row from WORK.BayesianProbability.",NULL
[dbo].[BayesianProbability2],Input,@StartDateTime,DATETIME,"Lower datetime bound for selected events. If NULL, defaults to 1900-01-01.",'1900-01-01'
[dbo].[BayesianProbability2],Input,@transforms,NVARCHAR(MAX),Optional transform code passed to dbo.sp_SelectedEvents for event normalization or mapping.,NULL
[dbo].[BayesianProbability2],Output,ACount,INT,Number of grouped units matching sequence A.,
[dbo].[BayesianProbability2],Output,A_Int_BCount,INT,Number of grouped units matching both sequence A and sequence B.,
[dbo].[BayesianProbability2],Output,BCount,INT,Number of grouped units matching sequence B.,
[dbo].[BayesianProbability2],Output,EventSetKeyA,VARBINARY(16),"EventSetKey corresponding to SeqA, resolved or created through dbo.InsertEventSets.",
[dbo].[BayesianProbability2],Output,EventSetKeyB,VARBINARY(16),"EventSetKey corresponding to SeqB, resolved or created through dbo.InsertEventSets.",
[dbo].[BayesianProbability2],Output,PA,FLOAT,Marginal probability of A = ACount / TotalCases.,
[dbo].[BayesianProbability2],Output,PB,FLOAT,Marginal probability of B = BCount / TotalCases.,
[dbo].[BayesianProbability2],Output,Session behavior,Behavior,"Writes the computed result row to WORK.BayesianProbability using the SessionID. If SessionID was not supplied, the procedure returns the row and then deletes it from the work table.",
[dbo].[BayesianProbability2],Output,TotalCases,INT,Total number of grouped units in the selected population.,
[dbo].[BayesianProbability2],Output,[PA|B],FLOAT,Conditional probability P(A|B) = A_Int_BCount / BCount.,
[dbo].[BayesianProbability2],Output,[PB|A],FLOAT,Conditional probability P(B|A) = A_Int_BCount / ACount.,
[dbo].[BayesianProbability2],Reference,WORK.BayesianProbability,Table,Stores the computed Bayesian probability result row for the current SessionID.,
[dbo].[BayesianProbability2],Reference,WORK.SelectedEvents,Table,Temporary work-table source of selected event rows used to test sequence occurrence by case or time bucket.,
[dbo].[BayesianProbability2],Reference,dbo.DefaultGroupType,Scalar Function,"Normalizes the grouping mode to CASEID, DAY, MONTH, or YEAR.",
[dbo].[BayesianProbability2],Reference,dbo.EventSetByCode,Scalar Function,Resolves sequence or event-set codes into comma-separated event lists.,
[dbo].[BayesianProbability2],Reference,dbo.InsertEventSets,Stored Procedure,Finds or creates EventSetKey values for SeqA and SeqB before storing the Bayesian result.,
[dbo].[BayesianProbability2],Reference,dbo.sp_SelectedEvents,Stored Procedure,Builds the selected event stream into WORK.SelectedEvents for the supplied filters and session.,
[dbo].[BayesianProbability2],Reference,string_split,Built-in Function,Splits SeqA and SeqB CSV inputs into ordered event rows for sequence matching.,
[dbo].[BayesianProbability],Input,@CaseFilterProperties,NVARCHAR(MAX),JSON of case-level filter properties.,—
[dbo].[BayesianProbability],Input,@EndDateTime,DATETIME,Upper bound for event dates.,—
[dbo].[BayesianProbability],Input,@EventFilterProperties,NVARCHAR(MAX),JSON of event-level filter properties.,—
[dbo].[BayesianProbability],Input,@EventSet,NVARCHAR(MAX),"Optional CSV of all events; if NULL, union of SeqA and SeqB.",—
[dbo].[BayesianProbability],Input,@GroupType,NVARCHAR(10),"Grouping key: 'CASEID','DAY','MONTH','YEAR'.",—
[dbo].[BayesianProbability],Input,@SeqA,NVARCHAR(MAX),CSV list defining sequence A.,—
[dbo].[BayesianProbability],Input,@SeqB,NVARCHAR(MAX),CSV list defining sequence B.,—
[dbo].[BayesianProbability],Input,@StartDateTime,DATETIME,Lower bound for event dates.,—
[dbo].[BayesianProbability],Input,@transforms,NVARCHAR(MAX),Optional event mapping rules.,—
[dbo].[BayesianProbability],Output,ACount,INT,Number of cases containing sequence A.,
[dbo].[BayesianProbability],Output,A_Int_BCount,INT,Number of cases containing both A and B.,
[dbo].[BayesianProbability],Output,BCount,INT,Number of cases containing sequence B.,
[dbo].[BayesianProbability],Output,PA,FLOAT,Probability of sequence A P(A).,
[dbo].[BayesianProbability],Output,PA|B,FLOAT,Conditional probability P(A|B).,
[dbo].[BayesianProbability],Output,PB,FLOAT,Probability of sequence B P(B).,
[dbo].[BayesianProbability],Output,PB|A,FLOAT,Conditional probability P(B|A).,
[dbo].[BayesianProbability],Output,TotalCases,INT,Total distinct cases in the date range.,
[dbo].[BayesianProbability],Reference,dbo.DefaultGroupType,Scalar Function,Normalizes GroupType to CASEID/DAY/MONTH/YEAR.,
[dbo].[BayesianProbability],Reference,dbo.EventSetByCode,Scalar Function,Resolves EventSetCode to comma-separated events.,
[dbo].[BayesianProbability],Reference,dbo.SelectedEvents,Table-Valued Function,Returns filtered events for given parameters.,
[dbo].[BayesianProbability],Reference,string_split,Built-in TVF,Splits CSV into rows for sequence ranking.,
[dbo].[CalculateBayesianForModels],Input,@ModelID,INT,Identifier of the model whose characteristics and case population will be analyzed.,
[dbo].[CalculateBayesianForModels],Output,Result set 1,Table,"Raw characteristic rows derived from dbo.CaseCharacteristics(@ModelID), with one EventSequence per CaseID, Category, and Attribute.",
[dbo].[CalculateBayesianForModels],Output,Result set 2,Table,Aggregated counts for each distinct characteristic sequence within the model population.,
[dbo].[CalculateBayesianForModels],Output,Result set 3,Table,Pairwise combinations of characteristics with initialized counts and computed intersections pending update.,
[dbo].[CalculateBayesianForModels],Output,Result set 4,Table,"Final probability rows showing EventSet keys, counts, intersections, conditional probabilities, marginal probabilities, and anomaly category IDs for nonzero intersections.",
[dbo].[CalculateBayesianForModels],Output,Side effects,Behavior,Seeds missing sequences into dbo.EventSets as sequence entries and MERGEs the computed probabilities into dbo.BayesianProbabilities.,
[dbo].[CalculateBayesianForModels],Reference,dbo.BayesianProbabilities,Table,Target table updated or inserted with the computed Bayesian probability rows.,
[dbo].[CalculateBayesianForModels],Reference,dbo.CaseCharacteristics,Table-Valued Function,Supplies the model-specific anomaly signals and case properties used as the input population.,
[dbo].[CalculateBayesianForModels],Reference,dbo.DimAnomalyCategories,Table,Maps anomaly category codes to anomaly category IDs for persisted probability rows.,
[dbo].[CalculateBayesianForModels],Reference,dbo.EventSetKey,Scalar Function,Computes the key used to seed new EventSet rows.,
[dbo].[CalculateBayesianForModels],Reference,dbo.EventSets,Table,Stores event sets and sequences; receives any newly discovered EventSequence values.,
[dbo].[CaseCharacteristics],Input,@ModelID,INT,Identifier of the model whose characteristics are to be returned.,NULL
[dbo].[CaseCharacteristics],Output,Attribute,NVARCHAR(50),Metric name for anomalies or property name for case properties.,
[dbo].[CaseCharacteristics],Output,CaseID,INT,Identifier of the case.,
[dbo].[CaseCharacteristics],Output,Category,NVARCHAR(50),‘AnomalyCode’ for anomalies or ‘CaseProperty’ for properties.,
[dbo].[CaseCharacteristics],Output,EventA,NVARCHAR(20),Name of event A for anomalies; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,EventAIsEntry,BIT,Flag if EventA is entry; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,EventB,NVARCHAR(20),Name of event B for anomalies; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,EventBIsExit,BIT,Flag if EventB is exit; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,EventIDA,INT,Event A ID for anomaly pairs; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,EventIDB,INT,Event B ID for anomaly pairs; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,ModelID,INT,Model identifier for anomaly rows; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,PropertyValueAlpha,NVARCHAR(1000),Text value of case property; NULL for anomalies.,
[dbo].[CaseCharacteristics],Output,PropertyValueNumeric,FLOAT,Numeric value of case property; NULL for anomalies.,
[dbo].[CaseCharacteristics],Output,metric_value,FLOAT,Raw anomaly metric value; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,metric_zscore,FLOAT,Z-score of the anomaly metric; NULL for case properties.,
[dbo].[CaseCharacteristics],Output,transistion_prob,FLOAT,Anomaly transition probability; NULL for case properties.,
[dbo].[CaseCharacteristics],Reference,dbo.CasePropertiesParsed,Table,Parsed case-level properties to include as characteristics.,
[dbo].[CaseCharacteristics],Reference,dbo.EventPairAnomalies,Table,Stores computed anomaly event-pair metrics generated by MarkovProcess2.,
[dbo].[CaseCharacteristics],Reference,dbo.Metrics,Table,Lookup of metric definitions used in anomaly analysis.,
[dbo].[CaseCharacteristics],Reference,dbo.ModelDrillThrough,Table-Valued Function,Provides list of CaseIDs for the given model.,
[dbo].[CaseCharacteristics],Reference,dbo.Models,Table,Stores model metadata and links to Metrics.,
[dbo].[CasesWithProperties],Input,@SelectedProperties,NVARCHAR(MAX),CSV of up to five property names to retrieve per case.,NULL
[dbo].[CasesWithProperties],Output,CaseID,INT,Identifier of the case.,
[dbo].[CasesWithProperties],Output,CaseType,NVARCHAR(50),Name of the case type.,
[dbo].[CasesWithProperties],Output,Prop1,nvarchar(50),First property name.,
[dbo].[CasesWithProperties],Output,Prop1Alpha,NVARCHAR(1000),Alpha/text value of first property.,
[dbo].[CasesWithProperties],Output,Prop1Numeric,FLOAT,Numeric value of first property.,
[dbo].[CasesWithProperties],Output,Prop2,nvarchar(50),Second property name.,
[dbo].[CasesWithProperties],Output,Prop2Alpha,NVARCHAR(1000),Alpha/text value of second property.,
[dbo].[CasesWithProperties],Output,Prop2Numeric,FLOAT,Numeric value of second property.,
[dbo].[CasesWithProperties],Output,Prop3,nvarchar(50),Third property name.,
[dbo].[CasesWithProperties],Output,Prop3Alpha,NVARCHAR(1000),Alpha/text value of third property.,
[dbo].[CasesWithProperties],Output,Prop3Numeric,FLOAT,Numeric value of third property.,
[dbo].[CasesWithProperties],Output,Prop4,nvarchar(50),Fourth property name.,
[dbo].[CasesWithProperties],Output,Prop4Alpha,NVARCHAR(1000),Alpha/text value of fourth property.,
[dbo].[CasesWithProperties],Output,Prop4Numeric,FLOAT,Numeric value of fourth property.,
[dbo].[CasesWithProperties],Output,Prop5,nvarchar(50),Fifth property name.,
[dbo].[CasesWithProperties],Output,Prop5Alpha,NVARCHAR(1000),Alpha/text value of fifth property.,
[dbo].[CasesWithProperties],Output,Prop5Numeric,FLOAT,Numeric value of fifth property.,
[dbo].[CasesWithProperties],Output,SourceID,INT,Source system identifier for the case.,
[dbo].[CasesWithProperties],Reference,dbo.CasePropertiesParsed,Table,Parsed case-level property values.,
[dbo].[CasesWithProperties],Reference,dbo.CaseTypes,Table,Lookup of case type names.,
[dbo].[CasesWithProperties],Reference,dbo.Cases,Table,Base table of cases.,
[dbo].[CasesWithProperties],Reference,string_split,Built-in TVF,Used to split CSV property list into rows.,
[dbo].[ConditionalProbabilityTable],Input,@CaseFilterProperties,NVARCHAR(MAX),JSON of case-level filter properties.,
[dbo].[ConditionalProbabilityTable],Input,@EndDateTime,DATETIME,Upper bound for event dates.,
[dbo].[ConditionalProbabilityTable],Input,@EventFilterProperties,NVARCHAR(MAX),JSON of event-level filter properties.,
[dbo].[ConditionalProbabilityTable],Input,@EventSet,NVARCHAR(MAX),"Optional CSV of all events; if NULL, union of SeqA and SeqB.",
[dbo].[ConditionalProbabilityTable],Input,@GroupType,NVARCHAR(10),"Grouping key: 'CASEID','DAY','MONTH','YEAR'.",
[dbo].[ConditionalProbabilityTable],Input,@SeqA,NVARCHAR(MAX),CSV list defining sequence A.,
[dbo].[ConditionalProbabilityTable],Input,@SeqB,NVARCHAR(MAX),CSV list defining sequence B.,
[dbo].[ConditionalProbabilityTable],Input,@StartDateTime,DATETIME,Lower bound for event dates.,
[dbo].[ConditionalProbabilityTable],Input,@transforms,NVARCHAR(MAX),Optional JSON for normalizing event names.,
[dbo].[ConditionalProbabilityTable],Output,GroupTypeKey,INT,CaseID or time bucket key per GroupType grouping.,
[dbo].[ConditionalProbabilityTable],Output,a,INT,Count of sequence-A events per GroupTypeKey.,
[dbo].[ConditionalProbabilityTable],Output,b,INT,Count of sequence-B events per GroupTypeKey.,
[dbo].[ConditionalProbabilityTable],Reference,STRING_SPLIT,Built-in TVF,Splits CSV into rows.,
[dbo].[ConditionalProbabilityTable],Reference,dbo.EventSetByCode,Scalar Function,Resolves EventSet code to CSV of events.,
[dbo].[ConditionalProbabilityTable],Reference,dbo.SelectedEvents,Table-Valued Function,Retrieves filtered events for given parameters.,
[dbo].[CreateUpdateBayesianProbabilities],Input,@CaseFilterProperties,NVARCHAR(MAX),JSON of case-level filter properties.,
[dbo].[CreateUpdateBayesianProbabilities],Input,@EndDateTime,DATETIME,Upper bound of event dates (defaults to 2050-12-31).,NULL
[dbo].[CreateUpdateBayesianProbabilities],Input,@EventFilterProperties,NVARCHAR(MAX),JSON of event-level filter properties.,
[dbo].[CreateUpdateBayesianProbabilities],Input,@EventSet,NVARCHAR(MAX),"Optional CSV of all events; if NULL, union of SeqA and SeqB.",
[dbo].[CreateUpdateBayesianProbabilities],Input,@GroupType,NVARCHAR(10),"Grouping dimension: 'CASEID','DAY','MONTH','YEAR'.",
[dbo].[CreateUpdateBayesianProbabilities],Input,@SeqA,NVARCHAR(MAX),CSV defining sequence A.,
[dbo].[CreateUpdateBayesianProbabilities],Input,@SeqB,NVARCHAR(MAX),CSV defining sequence B.,
[dbo].[CreateUpdateBayesianProbabilities],Input,@StartDateTime,DATETIME,Lower bound of event dates (defaults to 1900-01-01).,NULL
[dbo].[CreateUpdateBayesianProbabilities],Input,@transforms,NVARCHAR(MAX),Optional event-mapping JSON.,
[dbo].[CreateUpdateBayesianProbabilities],Output,BayesianProbabilities table,Table,"Upserted row containing ModelID, GroupType, EventSetAKey, EventSetBKey, counts and conditional probabilities.",
[dbo].[CreateUpdateBayesianProbabilities],Reference,dbo.BayesianProbabilities,Table,Destination table for joint and conditional probability metrics.,
[dbo].[CreateUpdateBayesianProbabilities],Reference,dbo.BayesianProbability2,Stored Procedure,"Computes ACount, BCount, A_Int_BCount, PB|A, PA|B, TotalCases, PA, PB.",
[dbo].[CreateUpdateBayesianProbabilities],Reference,dbo.InsertEventSets,Stored Procedure,Inserts or retrieves keys for event-set definitions.,
[dbo].[CreateUpdateBayesianProbabilities],Reference,dbo.InsertModel,Stored Procedure,Inserts a Models record when no existing model matches.,
[dbo].[CreateUpdateBayesianProbabilities],Reference,dbo.ModelsByParameters,Table-Valued Function,Resolves or inserts a Models row and returns keys.,
[dbo].[CreateUpdateMarkovProcess],Input,@ByCase,BIT,1 to group by CaseID; 0 to treat all events as one continuous sequence.,1
[dbo].[CreateUpdateMarkovProcess],Input,@CaseFilterProperties,NVARCHAR(MAX),JSON of case-level filter key/value pairs.,NULL
[dbo].[CreateUpdateMarkovProcess],Input,@EndDateTime,DATETIME,Upper date bound (defaults to 2050-12-31).,NULL
[dbo].[CreateUpdateMarkovProcess],Input,@EventFilterProperties,NVARCHAR(MAX),JSON of event-level filter key/value pairs.,NULL
[dbo].[CreateUpdateMarkovProcess],Input,@EventSet,NVARCHAR(MAX),CSV or code defining which events to include in the model.,
[dbo].[CreateUpdateMarkovProcess],Input,@InsertSequences,BIT,1 to load detailed sequences into ModelSequences; 0 to skip (defaults to 1).,NULL
[dbo].[CreateUpdateMarkovProcess],Input,@ModelID,INT,OUTPUT. If NULL a new model is created; otherwise refreshes the existing ModelID.,NULL
[dbo].[CreateUpdateMarkovProcess],Input,@StartDateTime,DATETIME,Lower date bound (defaults to 1900-01-01).,NULL
[dbo].[CreateUpdateMarkovProcess],Input,@enumerate_multiple_events,INT,"0 to collapse duplicate events within a case; 1 to treat each occurrence separately; ≥2 to append occurrence counts (e.g., served1, served2).",0
[dbo].[CreateUpdateMarkovProcess],Input,@metric,NVARCHAR(20),Metric for transitions (defaults to “Time Between”).,NULL
[dbo].[CreateUpdateMarkovProcess],Input,@transforms,NVARCHAR(MAX),Optional JSON or code mapping for normalizing event names.,NULL
[dbo].[CreateUpdateMarkovProcess],Output,ModelEvents,Table,First-order transition records (EventA→EventB metrics).,
[dbo].[CreateUpdateMarkovProcess],Output,ModelID,INT,Returned as a single-row result for callers.,
[dbo].[CreateUpdateMarkovProcess],Output,ModelSequences,Table,Optional detailed sequence metrics when @InsertSequences=1.,
[dbo].[CreateUpdateMarkovProcess],Output,Models,Table,Upserted model metadata (DistinctCases updated).,
[dbo].[CreateUpdateMarkovProcess],Reference,dbo.InsertModel,Stored Procedure,"Upserts a Models record and outputs ModelID, MetricID, transformkey, EventSetKey.",
[dbo].[CreateUpdateMarkovProcess],Reference,dbo.MarkovProcess2,Stored Procedure,Computes first-order Markov transition statistics and returns them plus DistinctCases.,
[dbo].[CreateUpdateMarkovProcess],Reference,dbo.ModelEvents,Table,Holds computed first-order transition metrics.,
[dbo].[CreateUpdateMarkovProcess],Reference,dbo.ModelSequences,Table,Holds detailed sequence records when enabled.,
[dbo].[CreateUpdateMarkovProcess],Reference,dbo.Models,Table,"Stores model metadata, including DistinctCases count.",
[dbo].[CreateUpdateMarkovProcess],Reference,dbo.SequenceKey,Scalar Function,Produces a unique key for each sequence and nextEvent pair.,
[dbo].[CreateUpdateMarkovProcess],Reference,dbo.Sequences,Table-Valued Function,Generates detailed multi-event sequence metrics.,
[dbo].[DecodeAccessBitmap],Input,@AccessBitmap,BIGINT,Bitmap where each bit corresponds to an Access.AccessID.,
[dbo].[DecodeAccessBitmap],Output,AccessID,INT,Identifier of the access right.,
[dbo].[DecodeAccessBitmap],Output,Description,NVARCHAR,Human-readable description of the access right.,
[dbo].[DecodeAccessBitmap],Output,Granted,BIT,1 if the corresponding bit in @AccessBitmap is set; otherwise 0.,
[dbo].[DecodeAccessBitmap],Reference,dbo.Access,Table,Lookup table of all possible access rights with AccessID and Description.,
[dbo].[DefaultModelParameters],Input,@EndDateTime,DATETIME,Upper bound of the model’s time range; defaults to 2050-12-31 if NULL.,NULL
[dbo].[DefaultModelParameters],Input,@Order,INT,"Event order (1, 2, or 3); defaults to 1 if NULL or ≤0.",NULL
[dbo].[DefaultModelParameters],Input,@StartDateTime,DATETIME,Lower bound of the model’s time range; defaults to 1900-01-01 if NULL.,NULL
[dbo].[DefaultModelParameters],Input,@enumerate_multiple_events,INT,0 to collapse duplicate events; >0 to enumerate; defaults to 0 if NULL.,NULL
[dbo].[DefaultModelParameters],Input,@metric,NVARCHAR(20),"Name of the metric (e.g., 'Time Between'); defaults to 'Time Between' if NULL.",NULL
[dbo].[DefaultModelParameters],Output,@EndDateTime,DATETIME,Initialized upper bound date.,
[dbo].[DefaultModelParameters],Output,@Order,INT,Validated order value.,
[dbo].[DefaultModelParameters],Output,@StartDateTime,DATETIME,Initialized lower bound date.,
[dbo].[DefaultModelParameters],Output,@enumerate_multiple_events,INT,Validated enumeration flag.,
[dbo].[DefaultModelParameters],Output,@metric,NVARCHAR(20),Validated metric name.,
[dbo].[DeleteCase],Input,@CaseID,INT,Identifier of the case to delete along with all related data.,
[dbo].[DeleteCase],Output,Affected Rows,N/A,"Rows removed from EventPropertiesParsed, EventProperties, EventsFact, CaseProperties, CasePropertiesParsed, and Cases tables.",
[dbo].[DeleteCase],Reference,dbo.CaseProperties,Table,Raw case-level properties to delete.,
[dbo].[DeleteCase],Reference,dbo.CasePropertiesParsed,Table,Parsed case-level properties to delete.,
[dbo].[DeleteCase],Reference,dbo.Cases,Table,Case record to delete.,
[dbo].[DeleteCase],Reference,dbo.EventProperties,Table,Raw event-level properties to delete.,
[dbo].[DeleteCase],Reference,dbo.EventPropertiesParsed,Table,Parsed event-level properties to delete.,
[dbo].[DeleteCase],Reference,dbo.EventsFact,Table,Event fact records to delete.,
[dbo].[DeleteEventBatch],Input,@BatchID,BIGINT,Identifier of the batch of events to delete.,
[dbo].[DeleteEventBatch],Output,Affected Rows,N/A,"Rows removed from EventProperties, EventPropertiesParsed, EventsFact, CaseProperties, CasePropertiesParsed, and Cases tables.",
[dbo].[DeleteEventBatch],Reference,dbo.CaseProperties,Table,Raw case property rows to delete when their CaseIDs are affected.,
[dbo].[DeleteEventBatch],Reference,dbo.CasePropertiesParsed,Table,Parsed case property rows to delete when their CaseIDs are affected.,
[dbo].[DeleteEventBatch],Reference,dbo.Cases,Table,Case records to delete when their CaseIDs are affected.,
[dbo].[DeleteEventBatch],Reference,dbo.EventProperties,Table,Raw event property rows to delete.,
[dbo].[DeleteEventBatch],Reference,dbo.EventPropertiesParsed,Table,Parsed event property rows to delete.,
[dbo].[DeleteEventBatch],Reference,dbo.EventsFact,Table,Source of EventID and CaseID pairs for deletion.,
[dbo].[DeleteEventBatch],Reference,dbo.ProcErrorLog,Table,Error logging table where deletion success/failure should be recorded.,
[dbo].[DeleteModel],Input,@ModelID,INT,Identifier of the model to delete along with all related records.,
[dbo].[DeleteModel],Output,Deleted Rows,N/A,"Rows removed from Model_Stationary_Distribution, ModelProperties, ModelEvents, ModelSequences, ModelSimilarity, and Models tables.",
[dbo].[DeleteModel],Output,ProcErrorLog Entry,Table,A record inserted indicating the model deletion event.,
[dbo].[DeleteModel],Reference,dbo.ModelEvents,Table,Contains first-order transition metrics.,
[dbo].[DeleteModel],Reference,dbo.ModelProperties,Table,Holds model-level property records.,
[dbo].[DeleteModel],Reference,dbo.ModelSequences,Table,Contains detailed sequence metrics.,
[dbo].[DeleteModel],Reference,dbo.ModelSimilarity,Table,Stores pairwise model similarity links.,
[dbo].[DeleteModel],Reference,dbo.Model_Stationary_Distribution,Table,Stores stationary probabilities for models.,
[dbo].[DeleteModel],Reference,dbo.Models,Table,Primary model metadata table.,
[dbo].[DeleteModel],Reference,dbo.ProcErrorLog,Table,Procedure error/event logging table.,
[dbo].[DrillThroughToModelEvents],Input,@ModelID,INT,Identifier of the model whose component events should be returned.,
[dbo].[DrillThroughToModelEvents],Output,CaseID,INT,Case identifier associated with the event.,
[dbo].[DrillThroughToModelEvents],Output,Event,NVARCHAR(20),Name of the event.,
[dbo].[DrillThroughToModelEvents],Output,EventDate,DATETIME,Timestamp when the event occurred.,
[dbo].[DrillThroughToModelEvents],Output,EventOccurence,BIGINT,Count of how many times this event has occurred in the sequence.,
[dbo].[DrillThroughToModelEvents],Output,MetricActualValue,FLOAT,Observed metric value at the time of the event.,
[dbo].[DrillThroughToModelEvents],Output,MetricExpectedValue,FLOAT,Expected metric value for the event based on the model.,
[dbo].[DrillThroughToModelEvents],Output,Rank,INT,Sequential position of the event within its case.,
[dbo].[DrillThroughToModelEvents],Reference,dbo.EventSets,Table,Defines which events comprise each model's event set.,
[dbo].[DrillThroughToModelEvents],Reference,dbo.Metrics,Table,Defines available metric types and methods.,
[dbo].[DrillThroughToModelEvents],Reference,dbo.Models,Table,Stores model configuration parameters.,
[dbo].[DrillThroughToModelEvents],Reference,dbo.SelectedEvents,Table-Valued Function,Filters and enriches raw EventsFact according to model parameters.,
[dbo].[DrillThroughToModelEvents],Reference,dbo.Transforms,Table,Optional event mapping transformations applied before model computation.,
[dbo].[EntryAndExitPoints],Input,@ByCase,BIT,Whether to analyze entry/exit per case (1) or across all cases (0).,1
[dbo].[EntryAndExitPoints],Input,@CaseFilterProperties,NVARCHAR(MAX),JSON filter for case-level properties.,
[dbo].[EntryAndExitPoints],Input,@EndDateTime,DATETIME,Upper bound of event date filter.,
[dbo].[EntryAndExitPoints],Input,@EventFilterProperties,NVARCHAR(MAX),JSON filter for event-level properties.,
[dbo].[EntryAndExitPoints],Input,@EventSet,NVARCHAR(MAX),CSV or code defining the set of events to analyze.,
[dbo].[EntryAndExitPoints],Input,@StartDateTime,DATETIME,Lower bound of event date filter.,
[dbo].[EntryAndExitPoints],Input,@enumerate_multiple_events,INT,Flag (0/1) indicating whether to treat repeated events separately.,
