object_type,object_name,object_description,utilization,sample_code
SQL_STORED_PROCEDURE,[dbo].[CreateUpdateMarkovProcess],"Stored procedure, , [dbo].[CreateUpdateMarkovProcess]: [
    ""Creates or refreshes a Markov process model for a given event set."",
    ""Calls InsertModel to upsert Models, clears ModelEvents, invokes MarkovProcess2 to compute transition metrics into a temp table, populates ModelEvents, updates Models.DistinctCases, and—if requested—inserts detailed sequences into ModelSequences."",
    ""Returns the final ModelID as a single-row result for downstream callers (e.g., pyodbc).""
  ]","Use when you want to create or refresh a stored Markov process model from current event data, especially for repeatable analysis and cacheable model generation.","

    EXEC dbo.CreateUpdateMarkovProcess
       @ModelID = NULL OUTPUT,
       @EventSet = 'restaurantguest',
       @enumerate_multiple_events = 0,
       @StartDateTime = '19000101',
       @EndDateTime = '20501231',
       @transforms = NULL,
       @ByCase = 1,
       @metric = NULL,
       @CaseFilterProperties = NULL,
       @EventFilterProperties = NULL,
       @InsertSequences = 1;

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[DecodeAccessBitmap],"Table-valued function, [dbo].[DecodeAccessBitmap]: Takes a BIGINT bitmask and returns each AccessID with its description and whether that bit is set (granted).","Use when you need to translate an access bitmap into a more readable form for debugging, auditing, administration, or user-explainer output.","

    SELECT * FROM dbo.DecodeAccessBitmap(6);

"
SQL_STORED_PROCEDURE,[dbo].[DefaultModelParameters],"Stored procedure, , [dbo].[DefaultModelParameters]: Initializes or returns default model parameters (date range, event enumeration, metric, and ordering) via OUTPUT parameters.",Use when you want to populate or maintain the system’s default modeling parameters so downstream procedures behave consistently when callers omit optional settings.,"
    DECLARE 
      @Start DATETIME, 
      @End DATETIME, 
      @Ord INT, 
      @Enum INT, 
      @Met NVARCHAR(20);
    EXEC dbo.DefaultModelParameters 
      @StartDateTime=@Start OUTPUT,
      @EndDateTime=@End OUTPUT,
      @Order=@Ord OUTPUT,
      @enumerate_multiple_events=@Enum OUTPUT,
      @metric=@Met OUTPUT;
    SELECT @Start, @End, @Ord, @Enum, @Met;

"
SQL_STORED_PROCEDURE,[dbo].[DeleteCase],"Stored procedure, , [dbo].[DeleteCase]: [
    ""Deletes all data associated with a given CaseID, including event facts, parsed and raw properties, case properties, and the case record itself.""
  ]",Use when you need to remove a case and its related dependent data in a controlled way rather than manually deleting from multiple tables.,"

    EXEC dbo.DeleteCase @CaseID = xxxx;

"
SQL_STORED_PROCEDURE,[dbo].[DeleteEventBatch],"Stored procedure, , [dbo].[DeleteEventBatch]: [
    ""Deletes all events and related properties for the given BatchID, including fact rows, raw and parsed event properties, and any cases affected by those events (case records and their properties)."",
    ""Should log success or failure to ProcErrorLog with BatchID context.""
  ]","Use when backing out an imported batch of events and related parsed rows, cases, and properties, especially during ETL correction, reload, or bad-batch cleanup.","

    EXEC dbo.DeleteEventBatch @BatchID = 987654321;

"
SQL_STORED_PROCEDURE,[dbo].[DeleteModel],"Stored procedure, , [dbo].[DeleteModel]: Deletes a Markov model and all its associated data (stationary distribution, properties, events, sequences, similarity links) and logs the deletion event.","Use when you want to remove a model and all of its dependent stored artifacts cleanly, especially during model regeneration, cleanup, or administrative maintenance.","

EXEC dbo.DeleteModel @ModelID = 42;

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[DrillThroughToModelEvents],"Table-valued function, [dbo].[DrillThroughToModelEvents]: Retrieves all events (with ordering, occurrence counts, and metric values) that constitute the specified Markov model by its ModelID, leveraging the parameters stored for that model.","Use when you want to see the actual event rows behind a stored model, including order and metric values, instead of only the summarized model segments. Helpful for validation, walkthroughs, and explaining a model to others.","
    SELECT * FROM dbo.DrillThroughToModelEvents(24);

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EntryAndExitPoints],"Table-valued function, [dbo].[EntryAndExitPoints]: Identifies the entry and exit handoff points for a given event set by comparing each event in a case to its predecessor and successor, counting how often an event enters or exits the defined process.","Use when you want to find where a defined process tends to begin and end relative to surrounding events. Helpful for boundary discovery, handoff analysis, and understanding how a process connects to upstream and downstream workflows.","
    SELECT * 
      FROM dbo.EntryAndExitPoints('kitchenorder', 0, '2024-01-01', '2025-01-01', NULL, 1, NULL, NULL, NULL);

Note that this sproc looks at the events of the restaurantguest (dining area) and the kitchenorder event set to be under
a single case. The two event sets split the events of a case into two groups.

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EventPropertiesSource],"Table-valued function, [dbo].[EventPropertiesSource]: Retrieves all metadata about properties associated with a specific event, including property values, source table/column context, case natural key, and associated date column information.","Use when you need to understand which source columns or source systems contribute particular event properties, especially for lineage, mapping, and semantic cleanup.","

  SELECT *
    FROM dbo.EventPropertiesSource(435820);

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EventSegments],"Table-valued function, [dbo].[EventSegments]: Finds the starting positions (CaseOrdinal indices) in each case where a given sequence of events (EventSegment) occurs within the allowed EventSet and date range.","Use when you want to locate where an exact event segment begins inside cases, based on raw event order within a date range and event set. Helpful for finding repeated sub-processes, validating whether a known pattern occurs in cases, or using segment start positions as input to deeper drillthrough or sequence analysis.","

SELECT * FROM [dbo].EventSegments('greeted,seated,intro','restaurantguest',NULL,NULL)


"
SQL_SCALAR_FUNCTION,[dbo].[EventSetByCode],"Scalar function, [dbo].[EventSetByCode]: Given an EventSetCode and a flag indicating set versus sequence, looks up and returns the corresponding EventSet definition as a comma-separated list of events from dbo.EventSets.","Use when callers may provide a short event-set code instead of a literal event list and you want to resolve it into the actual comma-separated definition before filtering, model building, or event-set parsing.","

    SELECT dbo.EventSetByCode('restaurantguest', 1);  -- returns sequence if defined
    SELECT dbo.EventSetByCode('restaurantguest', 0);  -- returns set if defined

"
SQL_INLINE_TABLE_VALUED_FUNCTION,[dbo].[EventSetInclusion],"Table-valued function, [dbo].[EventSetInclusion]: Determines which defined event sets include all of the events from the provided EventSet expression, returning metadata about each matching set. Rewritten as an inline table-valued function for better Azure Synapse compatibility.","Use when you have a candidate event set and want to know which named event sets already contain those events. Helpful for reuse discovery, taxonomy cleanup, and mapping a new process fragment to existing definitions.","

    SELECT *
    FROM dbo.EventSetInclusion('served,order');

"
SQL_SCALAR_FUNCTION,[dbo].[EventSetKey],"Scalar function, [dbo].[EventSetKey]: Generates a 16-byte binary key for a comma-separated list of events, treating the list either as a set (order-agnostic) or as a sequence (order-sensitive). Uses MD5 hashing of the normalized event list plus a single-character sequence flag.","Use when you need a stable hash key for an event set or sequence so that equivalent definitions can be matched, stored, reused, or looked up consistently across models, metadata, and caching logic.","

    -- Same key for set {b,c,d}, regardless of input order:
    SELECT dbo.EventSetKey('b,c,d', NULL);
    SELECT dbo.EventSetKey('c,b,d', 0);
    SELECT dbo.EventSetKey('d,b,c', 0);

    -- Different key when treated as a sequence:
    SELECT dbo.EventSetKey('d,b,c', 1);

"
SQL_STORED_PROCEDURE,[dbo].[Generate_LLM_Description_Prompts],"Stored procedure, , [dbo].[Generate_LLM_Description_Prompts]: Builds a set of natural-language prompts for various metadata objects (EventSets, Transforms, Metrics, Sources, Models, CaseTypes) to feed into an LLM for generating vector embeddings or descriptions.","Use when you want to generate prompt text for metadata objects so they can be described, embedded, or indexed for semantic search and LLM-assisted navigation.","

    EXEC dbo.Generate_LLM_Description_Prompts;            -- Generate prompts for all metadata tables
    EXEC dbo.Generate_LLM_Description_Prompts @Table='Models';  -- Only for Models table

"
SQL_SCALAR_FUNCTION,[dbo].[GetMetadataJsonValueFromDefinition],"Scalar function, [dbo].[GetMetadataJsonValueFromDefinition]: Extracts the Metadata JSON block from a module definition comment and returns the value of a specified top-level JSON key.","Use when querying sys.sql_modules and you want to pull a single metadata field such as Description, Utilization, or Author from the Metadata JSON block without manually parsing the comment text.",
SQL_SCALAR_FUNCTION,[dbo].[GetModelEventString],"Scalar function, [dbo].[GetModelEventString]: Aggregates all transition pairs (EventA → EventB) and their probabilities for a given model into a single delimited string.","Use when you need a compact human-readable summary of a model’s event path or transitions for display, prompts, reporting, or quick inspection.","

    SELECT dbo.GetModelEventString(1);

"
SQL_SCALAR_FUNCTION,[dbo].[GetModelPropertyString],"Scalar function, [dbo].[GetModelPropertyString]: [
    ""Aggregates all properties for a given ModelID into a single string of the form 'PropertyName:Value|...'."",
    ""Uses numeric PropertyValueNumeric when present; otherwise falls back to PropertyValueAlpha.""
  ]","Use when you want to flatten a model’s properties into a single readable string for display, metadata generation, embeddings, or audit-style summaries.","

    -- Concatenate all properties for model 6
    SELECT 
		mp.ModelID,
		dbo.GetModelPropertyString(mp.ModelID) PropertyString
	FRoM
		[dbo].[ModelProperties] mp
		

"
SQL_STORED_PROCEDURE,[dbo].[ImportEventsFromStage],"Stored procedure, , [dbo].[ImportEventsFromStage]: Imports staged event rows into the TimeSolution event ensemble beginning at an optional import date threshold. Resolves source context, applies user access defaults, and loads core event-level structures used later for property parsing, process analysis, and Markov model creation.","Use as the main ETL entry point for moving rows from STAGE into the core Time Molecules event ensemble. This is the procedure to run after stage tables have been populated and you want the imported events to become available for downstream case/event analysis, parsed properties, drill-through, and model generation.","

    EXEC dbo.ImportEventsFromStage;

    EXEC dbo.ImportEventsFromStage
        @ImportFromDate = '2026-01-01';

"
SQL_STORED_PROCEDURE,[dbo].[InsertCaseProperties],"Stored procedure, , [dbo].[InsertCaseProperties]: Parses JSON case-level properties from dbo.CaseProperties, maps them to source columns when possible, applies default MDM overrides from dbo.CasePropertiesMDM, and inserts the results into dbo.CasePropertiesParsed. Supports full refresh or selective refresh by CaseID.","Use when case property bags are stored as JSON and need to be parsed into structured rows for filtering, joins, reporting, or downstream model logic.",
SQL_STORED_PROCEDURE,[dbo].[InsertCase],"Stored procedure, , [dbo].[InsertCase]: Inserts a new case into the Cases table, auto-generating CaseID if not provided, validating CaseTypeName and SourceID, and setting date range and access bitmap.","Use when adding a case record in a standardized way, especially when event ingestion or ETL logic needs the case created before related properties or events are inserted.","

    DECLARE @NewCaseID INT;
    EXEC dbo.InsertCase 
        @CaseID = @NewCaseID OUTPUT,
        @CaseTypeName = 'ExampleCase',
        @StartDateTime = '2024-09-27',
        @EndDateTime = '2024-09-30',
        @AccessBitMap = 0,
        @SourceID = 3;

"
SQL_STORED_PROCEDURE,[dbo].[InsertEventProperties],"Stored procedure, , [dbo].[InsertEventProperties]: Parses and extracts key-value property pairs from JSON-formatted ActualProperties and ExpectedProperties in the EventProperties table and inserts them into EventPropertiesParsed, mapping to SourceColumns when possible. If @CompleteRefresh is 1, the table is truncated before insert.",Use when raw event property payloads need to be parsed and materialized into structured event-property rows for downstream filtering and analysis.,"

    EXEC dbo.InsertEventProperties @CompleteRefresh = 1;

"
SQL_STORED_PROCEDURE,[dbo].[InsertEvent],"Stored procedure, , [dbo].[InsertEvent]: Adds a new event to the DimEvents table only if the event name does not already exist. This ensures that event names are unique across the dimension table, and stores optional metadata including description, JSON properties, and an IRI.","Use when inserting events through a standard database entry point rather than direct table writes, especially when you want consistent handling of event metadata and linked case information.","

    EXEC dbo.InsertEvent 
         @Event = 'appointmentconfirmed',
         @Description = 'Customer confirmed appointment via SMS',
         @Properties = '{""channel"":""sms""}',
         @IRI = 'http://example.org/event/appointmentconfirmed';

"
SQL_STORED_PROCEDURE,[dbo].[InsertModelSimilarities],"Stored procedure, , [dbo].[InsertModelSimilarities]: Compares two Markov models based on their event transition segments, calculating Jaccard-style overlap, cosine similarity of transition probabilities, and t-test for average transition times. Stores the similarity metrics in the ModelSimilarity table. Optionally outputs segment-level comparison details.","Use when you want to compute and store similarities between models so related models can be compared, grouped, or recommended later.","

    EXEC dbo.InsertModelSimilarities 
         @ModelID1 = 1, 
         @ModelID2 = 8, 
         @DisplaySegments = 1;

"
SQL_STORED_PROCEDURE,[dbo].[InsertModel],"Stored procedure, , [dbo].[InsertModel]: Inserts or updates a model definition in the Models table based on parameters including event set, metric, case/event filters, and transformations. Generates a unique ParamHash to identify distinct model configurations, handles model deduplication, and populates ModelProperties with parsed case- and event-level properties.",Use when persisting a newly defined model and its associated metadata rather than leaving the model as a purely ad hoc query result.,"

    DECLARE @ModelID INT;
    DECLARE @EventSetKey VARBINARY(16), @TransformKey VARBINARY(16), @MetricID INT;
    EXEC dbo.InsertModel 
        @ModelID = @ModelID OUTPUT,
        @EventSet = 'walkin,seated,order,paid',
        @enumerate_multiple_events = 0,
        @StartDateTime = '2022-01-01',
        @EndDateTime = '2022-12-31',
        @transforms = NULL,
        @ByCase = 1,
        @metric = 'Time Between',
        @CaseFilterProperties = '{""location"":""store123""}',
        @EventFilterProperties = NULL,
        @MetricID = @MetricID OUTPUT,
        @transformkey = @TransformKey OUTPUT,
        @eventsetkey = @EventSetKey OUTPUT,
        @order = 1,
        @ModelType = 'MarkovChain';

"
SQL_STORED_PROCEDURE,[dbo].[InsertSourceColumn],"Stored procedure, , [dbo].[InsertSourceColumn]: Registers a new column for a given SourceID in the SourceColumns table. If a matching SourceColumnID or (SourceID + ColumnName + TableName) already exists, returns the existing ID and exits.",Use when registering source-column metadata so parsed event or case properties can be mapped back to their originating fields.,"

    DECLARE @NewColID INT;
    EXEC dbo.InsertSourceColumn
      @SourceID = 1,
      @ColumnName = 'OrderDate',
      @TableName = 'FactInternetSales',
      @SourceColumnID = @NewColID OUTPUT;
    SELECT @NewColID AS SourceColumnID;

"
SQL_STORED_PROCEDURE,[dbo].[InsertSource],"Stored procedure, , [dbo].[InsertSource]: [
    ""Inserts a new source definition if one with the given Name does not already exist."",
    ""If the source exists, returns its existing SourceID; otherwise creates a new row in Sources and outputs the new SourceID."",
    ""Logs the insertion event to ProcErrorLog with EventName='New Source' on success.""
  ]","Use when registering a new data source in the metadata layer so events, properties, and source columns can be linked to it consistently.","

    DECLARE @NewID INT;
    EXEC dbo.InsertSource
      @Name = 'AdventureWorksDW2017',
      @DefaultTableName = 'FactInternetSales',
      @SourceID = @NewID OUTPUT;
    SELECT @NewID AS SourceID;

"
SQL_STORED_PROCEDURE,[dbo].[InsertTransforms],"Stored procedure, , [dbo].[InsertTransforms]: [
    ""Computes the canonical key for a transforms JSON payload and inserts it into the Transforms table if not already present."",
    ""Returns the binary TransformsKey for downstream use.""
  ]",Use when storing transform definitions that normalize or remap event names before modeling and analysis.,"

    DECLARE @tkey VARBINARY(16);
    EXEC dbo.InsertTransforms
      @Transforms = N'{""old"":""new"",""foo"":""bar""}',
      @Code = N'MYTRANS',
      @Transformskey = @tkey OUTPUT;
    SELECT @tkey AS TransformsKey;

"
SQL_SCALAR_FUNCTION,[dbo].[IsMutuallyExclusive],"Scalar function, [dbo].[IsMutuallyExclusive]: [
    ""Determines whether two models’ time ranges do not overlap (i.e., are mutually exclusive)."",
    ""Returns 1 if Model1 ends before Model2 starts or Model2 ends before Model1 starts; otherwise 0.""
  ]","Use when checking whether two events, properties, or conditions should be treated as incompatible in the same analytical context, especially when validating event-set or model design.","

    -- Check if models 1 and 2 have non‐overlapping time ranges
    SELECT dbo.IsMututallyExclusive(1, 2) AS AreExclusive;

"
SQL_STORED_PROCEDURE,[dbo].[MarkovProcess2],"Stored procedure, , [dbo].[MarkovProcess2]: Computes a first-, second-, or third-order Markov model from the selected events, calculating per-segment statistics such as count, probability, aggregate metric values, entry/exit flags, and ordinal measures, and writing the computed rows to WORK.MarkovProcess for the current session. This is the central object of the Markov Model Ensemble.","Use when you want to compute a Markov model from filtered event data and return its segment statistics in procedure form, especially when temp-table logic is preferable to the TVF implementation. Helpful for generating first-, second-, or third-order model segments, comparing process behavior under different filters or transforms, and feeding the results into another procedure such as CreateUpdateMarkovProcess that is responsible for storing or updating the model.","
    EXEC dbo.MarkovProcess2 
      @Order=1,
      @EventSet='arrive,greeted,seated',
      @enumerate_multiple_events=0,
      @StartDateTime='2025-01-01',
      @EndDateTime='2025-12-31',
      @ByCase=1,
      @ModelHighlights=3,
      @DistinctCases=@DistinctCases OUTPUT,
      @ModelID=@ModelID OUTPUT;

"
SQL_TABLE_VALUED_FUNCTION,[dbo].[MarkovProcess],"Table-valued function, [dbo].[MarkovProcess]: Computes an Nth-order Markov chain over a specified event set and time window, returning detailed transition statistics, probabilities, entry/exit flags, ordinal metrics, and cache indicators for each tuple of prior events → next event.",,"

    SELECT * 
      FROM dbo.MarkovProcess(
        1, 'restaurantguest', 0,
        '1900-01-01','2050-12-31',
        NULL, 1, NULL, NULL, NULL, 0
      );

    -- Force recalculation and bypass cache:
    SELECT * 
      FROM dbo.MarkovProcess(
        1, 'restaurantguest', 0,
        NULL,NULL,
        NULL, 1, NULL, NULL, NULL, 1
      );

    SELECT * 
      FROM dbo.MarkovProcess(
        2, 'restaurantguest', 0,
        '1900-01-01','2050-12-31',
        NULL, 1, NULL, NULL, NULL, 0
      );

    SELECT * 
      FROM dbo.MarkovProcess(
        3, 'restaurantguest', 0,
        '1900-01-01','2050-12-31',
        NULL, 1, NULL, NULL, NULL, 0
      );

    -- Bypass cache and default to order 1 when @Order ≤ 0
    SELECT * 
      FROM dbo.MarkovProcess(
        0, 'poker', 0,
        NULL, NULL,
        NULL, 1, NULL, NULL, NULL, 1
      );


"
SQL_STORED_PROCEDURE,[dbo].[Markov_Model_Confidence_Support],"Stored procedure, , [dbo].[Markov_Model_Confidence_Support]: Computes support (total transition count) and a confidence score (weighted by coefficient of variation) for one or all Markov models, returning per-model metrics and segment counts.","Use when you want supporting statistics around model confidence, stability, or support levels for a Markov model, especially for judging whether a model is analytically trustworthy.","

    EXEC dbo.Markov_Model_Confidence_Support @ModelID = 2;
    EXEC dbo.Markov_Model_Confidence_Support;  -- all models

"
